recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin K µg,Vitamin A IU,Vitamin C mg,Folate µg,Manganese mg,Fiber g,Magnesium mg,Potassium mg,Copper mg,Iron mg,Vitamin B6 mg,Phosphorus mg,Vitamin B1 mg,Vitamin E mg,Zinc mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Calcium mg,Selenium µg,Vitamin B12 µg,Vitamin D µg,Alcohol g
649000,270.02,9.45,1.75,7.56,5.91,3.39,109.32,244.09,37.16,4.15,185.67,6.6,19.87,0.2,1.65,58.74,765.05,0.1,1.2,1.34,399.71,0.15,1.16,1.32,0.22,17.56,2.54,68.04,54.45,0.41,0.19,
663074,425.16,27.46,21.98,19.33,15.51,13.46,73.02,576.11,28.19,11.32,1851.12,77.62,48.79,1.1,3.82,88.33,905.09,0.36,2.76,1.17,371.26,0.15,1.01,1.57,0.18,13.56,2.0,51.24,43.8,0.25,,
1096306,482.98,28.46,12.87,48.35,33.66,6.83,0.0,929.75,15.41,13.79,454.62,15.07,86.19,2.77,14.69,107.18,885.82,0.74,6.34,1.36,289.4,0.2,3.34,2.46,0.12,2.14,1.14,154.27,6.35,,,
651337,559.82,38.7,15.1,16.37,12.73,9.15,183.51,707.32,35.44,10.69,2058.79,11.03,37.45,0.68,3.64,67.63,885.89,0.23,5.69,0.72,419.03,0.16,1.54,8.12,0.48,7.81,1.49,188.48,34.76,4.0,0.54,
721185,308.07,12.63,0.94,41.79,30.64,10.62,0.0,245.54,11.99,20.68,996.98,74.42,82.41,0.55,11.15,58.47,558.64,0.29,3.5,0.3,129.08,0.14,2.65,1.02,0.11,1.42,0.3,89.95,3.25,,,
641123,622.74,6.09,1.67,73.95,68.12,29.61,137.5,1088.0,64.51,17.69,760.78,29.6,63.91,0.95,5.83,124.03,1361.45,0.79,9.22,0.43,549.91,0.2,2.11,7.56,0.23,2.56,0.53,117.21,32.81,,,0.2
651914,410.38,28.82,9.92,25.66,21.35,2.53,45.63,244.28,13.87,19.74,179.53,35.53,99.92,0.79,4.31,59.52,747.34,0.27,3.52,0.49,199.78,0.19,2.38,2.82,0.19,10.88,0.81,64.0,12.93,1.44,,
641904,187.62,8.82,2.88,16.25,11.7,10.41,28.05,43.35,11.23,15.28,7768.03,32.65,40.85,0.28,4.56,34.41,599.42,0.15,1.96,0.35,135.03,0.12,1.1,0.96,0.14,3.64,0.61,108.23,7.12,0.24,,
663092,218.26,15.19,5.81,11.16,8.25,4.0,0.0,356.69,8.26,12.64,4227.47,57.44,31.78,0.16,2.91,16.25,201.92,0.05,1.87,0.18,33.74,0.07,0.98,0.23,0.07,0.81,0.32,125.21,,,,
635601,486.22,37.77,5.01,24.89,17.47,11.48,327.36,494.0,14.83,37.5,2209.25,40.62,90.99,0.55,7.41,55.57,807.88,0.27,3.63,0.49,271.94,0.17,7.09,1.87,0.49,1.5,1.68,125.29,28.71,0.78,1.76,
663868,431.93,27.4,21.9,22.49,18.59,17.35,72.57,861.76,27.64,11.08,1905.71,43.73,56.04,1.38,3.9,93.65,844.25,0.41,2.58,1.03,349.65,0.15,0.85,1.46,0.15,13.36,2.0,51.4,43.62,0.27,,
658068,112.92,0.73,0.1,20.72,12.21,4.39,0.0,884.7,6.91,6.24,516.36,10.01,121.26,0.52,8.52,41.98,425.87,0.19,2.63,0.22,131.26,0.23,0.82,1.32,0.08,1.11,0.6,37.12,3.14,,,
647680,531.75,35.07,17.83,13.99,10.78,4.8,173.53,372.22,39.55,11.18,974.67,9.82,22.29,0.7,3.21,89.1,888.51,0.34,2.21,1.49,467.43,0.2,1.51,2.01,0.26,17.95,2.69,82.96,57.78,0.45,0.43,
651184,318.53,24.52,3.93,12.76,9.95,1.45,48.0,310.38,13.4,18.44,1670.82,34.73,168.54,0.21,2.82,28.85,402.2,0.14,2.05,0.39,131.23,0.08,4.39,1.18,0.15,20.55,0.68,42.65,10.39,0.2,,
641110,564.34,39.47,9.78,15.63,15.18,13.78,142.83,134.94,35.85,9.67,480.29,9.2,14.95,0.39,0.45,45.24,416.56,7.8,2.34,0.71,287.6,0.13,2.1,2.62,0.24,13.04,1.78,47.06,27.9,0.59,0.38,
642941,382.92,21.42,11.91,20.94,15.76,10.12,62.37,402.32,29.84,28.04,820.17,42.97,149.63,0.79,5.18,88.84,965.66,0.5,7.56,0.26,295.23,0.13,2.62,3.51,0.09,13.49,0.46,82.49,12.33,,,
652598,377.67,22.79,12.0,8.11,5.53,1.61,149.74,329.27,35.06,6.09,2165.94,8.98,15.45,0.34,2.58,57.92,757.35,0.12,1.98,1.35,384.33,0.14,2.28,1.41,0.25,16.42,2.3,87.06,51.19,0.45,0.29,
654532,542.97,40.3,16.2,29.9,22.29,15.65,66.0,300.45,18.5,48.12,4001.63,182.87,83.08,0.59,7.61,58.65,908.81,0.25,2.69,0.67,113.99,0.19,4.9,0.84,0.17,2.56,0.55,550.87,1.14,,,
646123,466.61,39.61,23.6,17.52,13.61,12.69,27.78,2375.85,14.32,19.45,3019.47,45.73,43.3,1.06,3.91,61.62,670.16,0.33,2.61,0.51,269.01,0.08,3.02,1.17,0.09,5.52,0.74,51.42,33.09,0.62,2.72,
663144,332.79,16.13,12.65,29.87,26.42,23.0,48.38,184.05,20.12,11.79,1296.95,51.96,47.18,0.73,3.45,78.16,710.45,0.33,3.83,0.84,270.45,0.23,0.76,1.32,0.15,8.98,1.62,67.63,25.33,0.16,,
