recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Phosphorus mg,Selenium µg,Vitamin B2 mg,Vitamin B6 mg,Fiber g,Potassium mg,Magnesium mg,Manganese mg,Calcium mg,Vitamin B5 mg,Zinc mg,Iron mg,Folate µg,Copper mg,Vitamin B12 µg,Vitamin A IU,Vitamin D µg,Vitamin B1 mg,Vitamin B3 mg,Vitamin C mg,Vitamin E mg,Vitamin K µg,Alcohol g,Caffeine mg
658300,591.3,29.05,16.96,69.03,66.83,19.58,195.82,298.49,13.21,338.04,34.54,0.6,0.12,2.21,437.63,27.18,0.46,197.17,1.09,1.19,3.79,135.27,0.16,0.65,1089.75,1.96,0.54,3.91,,1.1,3.83,0.52,
1095748,665.44,28.89,13.3,93.7,82.17,45.61,0.0,534.07,13.68,267.68,24.75,0.77,0.37,11.53,607.47,126.86,2.38,384.64,0.97,1.99,4.06,88.76,0.43,,80.15,,0.46,6.13,7.33,5.31,16.71,0.36,
643514,316.56,25.73,6.76,5.05,4.09,2.42,335.86,335.15,16.51,286.57,30.27,0.47,0.23,0.96,328.37,26.82,0.21,219.66,1.51,1.65,2.48,60.52,0.14,0.93,1138.21,1.82,0.07,0.55,18.21,3.43,45.8,,
643450,305.74,9.14,1.38,48.98,43.89,11.91,1.0,225.89,8.03,287.87,12.27,0.09,0.21,5.08,384.99,81.56,1.78,81.92,0.3,1.9,2.32,25.69,0.32,,,,0.31,1.12,1.58,0.39,1.69,0.34,
1096257,545.47,13.89,11.84,99.26,87.68,35.43,0.0,349.87,8.98,80.2,1.9,0.08,0.08,11.57,261.27,10.74,0.52,104.04,0.2,0.3,4.37,10.5,0.19,,79.92,,0.06,0.65,17.46,0.85,28.62,,
644860,365.46,24.91,20.45,33.12,31.68,1.85,61.38,250.55,5.41,256.44,5.19,0.09,0.24,1.43,432.94,62.41,1.26,96.38,0.72,1.0,2.43,20.97,0.19,0.15,89.1,0.33,0.14,1.66,,0.21,,,
636962,118.19,4.64,2.01,14.36,12.97,2.04,23.4,183.17,5.46,147.74,6.16,0.13,0.03,1.39,249.25,13.42,0.14,134.44,0.23,0.54,1.25,20.32,0.06,0.35,169.71,0.37,0.09,0.72,0.9,0.29,7.72,,
637184,144.09,5.46,3.11,21.43,19.1,5.1,26.72,158.64,3.72,111.22,2.36,0.09,0.04,2.33,250.34,7.27,0.07,98.48,0.21,0.21,0.72,5.64,0.04,0.18,1968.43,0.54,0.03,0.21,0.97,0.24,1.89,,
650239,335.8,25.0,9.71,7.92,6.43,3.99,357.02,317.73,20.62,386.35,35.44,0.7,0.34,1.49,517.2,37.76,0.26,278.25,2.2,2.43,2.84,81.61,0.28,1.03,1847.45,2.01,0.12,1.99,20.1,2.56,47.66,,
633970,535.32,26.17,15.61,69.71,67.26,38.71,144.37,388.25,7.78,158.63,19.92,0.36,0.27,2.45,375.86,29.86,0.4,77.38,0.78,0.73,2.24,82.71,0.12,0.29,870.72,0.87,0.29,2.33,5.42,1.02,2.9,,
1096166,260.83,14.14,6.14,16.36,12.74,6.17,341.34,456.99,17.21,304.14,30.5,0.56,0.36,3.63,444.81,55.59,0.72,223.24,1.66,2.14,4.51,122.04,7.92,0.99,3028.19,2.23,0.2,1.3,41.23,1.65,269.09,,
1098347,306.26,11.75,5.42,47.52,45.41,24.4,40.8,286.06,4.42,65.11,10.52,0.19,0.21,2.11,215.98,25.72,0.45,16.14,0.37,0.46,1.45,59.39,0.15,0.07,295.36,0.25,0.22,1.74,3.91,0.37,1.1,,
643153,146.56,4.15,1.53,21.63,17.72,4.08,32.3,237.61,5.15,177.16,5.09,0.13,0.14,3.91,300.52,16.51,0.29,148.55,0.17,0.39,1.72,18.08,0.08,0.49,252.71,0.65,0.04,1.64,2.85,1.16,,0.46,
1161746,171.79,4.34,1.23,29.44,28.24,15.22,16.18,142.68,4.64,126.15,8.41,0.14,0.06,1.2,187.18,22.53,0.37,76.22,0.34,0.58,1.14,32.56,0.08,0.15,60.98,0.4,0.14,1.59,,0.57,,,
1096183,296.79,10.32,3.19,47.18,41.07,21.25,0.0,242.55,6.98,198.2,9.89,0.29,0.09,6.11,326.09,80.42,1.73,66.92,0.45,1.66,2.23,17.2,0.29,,,,0.19,0.95,0.85,3.05,1.32,,
1096246,608.33,48.99,27.45,26.81,24.47,8.69,255.24,454.54,16.77,324.83,17.47,0.43,0.14,2.34,222.66,26.33,0.22,343.38,0.98,1.9,1.7,46.66,0.08,0.73,1584.05,1.38,0.13,0.91,3.16,1.45,6.9,,
1096067,305.36,24.98,7.47,4.81,3.49,2.5,180.68,1054.49,16.39,354.35,34.77,0.4,0.23,1.32,416.27,19.27,0.1,331.65,1.76,1.75,1.66,52.27,0.29,0.73,794.11,1.26,0.08,3.94,6.12,2.57,74.75,,
639594,197.5,8.96,2.61,14.43,13.66,0.16,178.81,497.87,13.78,194.31,20.64,0.29,0.2,0.77,196.11,16.12,0.12,41.78,0.95,1.16,1.22,32.37,0.08,0.59,237.6,1.68,0.28,2.26,,0.52,,,
1095713,149.71,13.47,3.97,5.73,2.21,0.93,2.23,133.75,1.48,,,,,3.53,,,0.06,,,,0.4,,,,,,,,,1.57,6.51,,
644045,96.24,3.0,1.76,15.13,13.34,12.42,10.62,39.03,3.6,97.36,2.13,0.14,0.1,1.79,313.0,21.0,0.12,116.0,0.47,0.58,0.27,33.38,0.09,0.3,491.78,,0.05,0.48,52.83,0.85,14.19,,
